news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://investorplace.com/2020/10/the-earnings-dip-in-facebook-stock-is-a-golden-buying-opportunity/,https://cdn.snapi.dev/images/v1/w/b/fb63-2.jpg,The Earnings Dip in Facebook Stock Is a Golden Buying Opportunity,"Despite the post-earnings selloff, FB stock remains supported by strong long-term fundamentals and an attractive valuation. The post The Earnings Dip in Facebook Stock Is a Golden Buying Opportunity appeared first on InvestorPlace.",InvestorPlace,"Fri, 30 Oct 2020 18:11:46 -0400",earnings,Positive,Article,FB
https://investorplace.com/2020/10/were-faang-stocks-declawed-by-mixed-earnings/,https://cdn.snapi.dev/images/v1/f/g/stocks-to-trade-in-october.jpg,Were FAANG Stocks Declawed by Mixed Earnings?,"Despite a pullback Friday, the FAANG stocks are thriving thanks not only to the services they provide today, but their adoption of the indispensable technologies of the future, like AI and 5G. The post Were FAANG Stocks Declawed by Mixed Earnings?",InvestorPlace,"Fri, 30 Oct 2020 17:28:09 -0400",,Positive,Article,"AAPL,AMZN,FB,GOOGL,NFLX,GOOG"
https://www.gurufocus.com/news/1272038/tech-companies-remain-overvalued-ahead-of-november,https://cdn.snapi.dev/images/v1/n/b/apple-temporarily-delays-30-fee-for-facebook-events.jpg,Tech Companies Remain Overvalued Ahead of November,"On Friday, several major technology companies like Apple Inc. (NASDAQ:AAPL), Facebook Inc. (NASDAQ:FB), Microsoft Corp. (NASDAQ:MSFT), Twitter Inc. (NYSE:TWTR) and Alphabet Inc. (NASDAQ:GOOGL)(NASDAQ:GOOG) remain overvalued going into November according to the GF Value Line, a GuruFocus-exclusive way to measure a stock's intrinsic value.",GuruFocus,"Fri, 30 Oct 2020 16:40:26 -0400",,Negative,Article,"AAPL,FB,GOOG,GOOGL,MSFT,TWTR"
https://www.gurufocus.com/news/1271966/6-popular-stocks-in-gurufocus-users-candy-baskets,https://cdn.snapi.dev/images/v1/b/n/fjhgtr2-1.jpg,6 Popular Stocks in GuruFocus Users' Candy Baskets,"According to GuruFocus Baskets statistics, the six most-popular stocks placed in GuruFocus users' Halloween candy baskets as of Friday are Intel Corp. (NASDAQ:INTC), Biogen Inc. (NASDAQ:BIIB), Apple Inc. (NASDAQ:AAPL), Facebook Inc. (NASDAQ:FB), Simon Property Group Inc. (NYSE:SPG) and Alibaba Group Holding Ltd. (NYSE:BABA).",GuruFocus,"Fri, 30 Oct 2020 15:55:04 -0400",,Positive,Article,"AAPL,BABA,BIIB,FB,INTC,SPG"
https://www.benzinga.com/analyst-ratings/analyst-color/20/10/18145654/5-facebook-analysts-on-q3-results-should-investors-buy-on-weakness,https://cdn.snapi.dev/images/v1/2/d/191121160054-facebook-gaming-restricted-super-169.jpg,5 Facebook Analysts On Q3 Results: Should Investors Buy On Weakness?,"Social media giant Facebook, Inc. (NASDAQ: FB) reported Thursday afternoon with third-quarter results that sent the stock lower, as investors appear to be concerned with a drop in U.S. and Canadian users. The Facebook Analysts Credit Suisse analyst Stephen Ju maintains an Outperform rating on Facebook with a price target lifted from $330 to $322.",Benzinga,"Fri, 30 Oct 2020 15:25:06 -0400",earnings,Positive,Article,FB
https://www.cnbc.com/2020/10/30/facebook-apple-amazon-alphabet-earnings-market-analysts-takes.html,https://cdn.snapi.dev/images/v1/o/k/okhge3---26cf1bdu7r.jpg,Big Tech earnings are out. Five market analysts on what to make of the reports,"Facebook, Apple, Twitter, Amazon and Alphabet have reported earnings, and market analysts are maintaining their high expectations for the tech giants.",CNBC,"Fri, 30 Oct 2020 14:25:44 -0400",earnings,Neutral,Article,"AAPL,AMZN,FB,GOOG,GOOGL,TWTR"
https://www.fool.com/investing/2020/10/30/why-facebook-stock-dropped-today/,https://cdn.snapi.dev/images/v1/j/x/p-1-libra-1.jpg,Why Facebook Stock Dropped Today,The social media juggernaut reported third-quarter results and lost users in North America for the first time.,The Motley Fool,"Fri, 30 Oct 2020 13:08:44 -0400",,Negative,Article,FB
https://www.youtube.com/watch?v=uc9H9q9tJCw,https://cdn.snapi.dev/images/v1/m/q/analyst-discusses-facebook-and-twitter-earnings-with-engagement-users-and-advertising-being-key.jpg,"Analyst discusses Facebook and Twitter earnings with engagement, users, and advertising being key","JMP Securities Technology Analyst Ron Josey discusses earnings for Big Tech. #Facebook #Twitter #Bigtech Subscribe to Yahoo Finance: https://yhoo.it/2fGu5Bb About Yahoo Finance: At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, international market data, social interaction and mortgage rates that help you manage your financial life.",Yahoo Finance,"Fri, 30 Oct 2020 13:06:15 -0400",earnings,Neutral,Video,"FB,TWTR"
https://www.cnbc.com/2020/10/30/facebook-to-temporarily-stop-recommending-new-groups-ahead-of-election.html,https://cdn.snapi.dev/images/v1/g/t/106618755-1594891638127gettyimages-1201476988.jpeg,Facebook to temporarily stop recommending new groups ahead of U.S. election,Facebook on Friday announced that it will stop recommending new groups to users as a temporary measure ahead of the U.S. election.,CNBC,"Fri, 30 Oct 2020 13:04:42 -0400",Political,Neutral,Article,FB
https://www.marketwatch.com/story/facebook-sales-were-great-but-headwinds-spook-analysts-11604078577,https://cdn.snapi.dev/images/v1/p/s/im-248219width620size15.jpg,"The Ratings Game: Facebook sales were great, but ‘headwinds' spook analysts","Facebook Inc. shares were taking a drubbing Friday after the social network announced record revenue but threw some serious shade about its prospects in 2021. Regulation, a slip in usage in U.S. and Canada, and intensifying ad competition are among the worries.",Market Watch,"Fri, 30 Oct 2020 12:22:00 -0400",paywall,Negative,Article,FB
https://www.businessinsider.com/facebook-stock-price-q3-earnings-us-users-revenue-sales-covid-2020-10,https://cdn.snapi.dev/images/v1/f/a/facebook-sees-37-billion-in-market-value-erased-after-3rd-quarter-earnings-reveal-decline-in-us-users.jpg,Facebook sees $37 billion in market value erased after 3rd quarter earnings reveal decline in US users,"Facebook shares dropped roughly 6% on Friday morning after reporting a decline in US users during the third quarter. The intraday drop erased $37 billion in market capitalization for the tech giant.  Facebook reported $21.5 billion in revenue for the third quarter, beating the Street's $19.8 billion forecast. It also said during the Thursday earnings call that its global daily active user base grew to 1.82 billion, versus the 1.78 billion expected by the Street. Global monthly active users were 2.74 billion, higher than the expected 2.70 billion. Facebook's $2.71 earnings per share beat the consensus estimate of $1.91 per share. ",Business Insider,"Fri, 30 Oct 2020 11:12:45 -0400",earnings,Negative,Article,FB
https://www.zacks.com/stock/news/1093446/etfs-to-soar-on-robust-facebook-q3-earnings,https://cdn.snapi.dev/images/v1/a/a/facebook-1084449-1920-2-0.jpg,ETFs to Soar on Robust Facebook Q3 Earnings,Facebook delivered robust third-quarter 2020 results wherein it beat both earnings and revenue estimates.,Zacks Investment Research,"Fri, 30 Oct 2020 11:10:00 -0400",earnings,Positive,Article,FB
https://www.investopedia.com/big-techs-cloud-gaming-competition-heats-up-5085097,https://cdn.snapi.dev/images/v1/i/c/computer-electronic2.jpg,Big Tech's Cloud Gaming Competition Heats Up,"The cloud gaming field is getting more crowded, with more subscription, platform, and device options for gamers of different stripes.",Investopedia,"Fri, 30 Oct 2020 09:55:28 -0400",,Neutral,Article,"AAPL,FB,GOOG,MSFT,NVDA"
https://www.zacks.com/stock/news/1093385/facebooks-fb-q3-earnings-beat-estimates-revenues-up-y-y,https://cdn.snapi.dev/images/v1/1/d/facebook-popular-photos-a-mini-instagramjpgw730.jpg,"Facebook's (FB) Q3 Earnings Beat Estimates, Revenues Up Y/Y",Facebook's (FB) third-quarter performance gains from robust ad revenues and user-base expansion amid the coronavirus-caused disruption.,Zacks Investment Research,"Fri, 30 Oct 2020 09:34:00 -0400",earnings,Positive,Article,FB
https://www.youtube.com/watch?v=yU55Sm2w0vo,https://cdn.snapi.dev/images/v1/m/q/jim-cramer-reveals-the-one-tech-stock-to-own-if-you-could-only-buy-one-of-them.jpg,Jim Cramer reveals the one tech stock to own if you could only buy one of them,CNBC's Jim Cramer talks Big Tech earnings with CNBC's Andrew Ross Sorkin and reveals which stock he would buy if he could only choose one.,CNBC Television,"Fri, 30 Oct 2020 09:22:15 -0400",cramer,Positive,Video,"AAPL,AMZN,FB,GOOG,GOOGL,TWTR"
https://www.cnbc.com/2020/10/30/apple-twitter-facebook-amazon-stock-down-after-earnings.html,https://cdn.snapi.dev/images/v1/g/9/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5911332fgettyimages-647653206jpgw700opresize.jpg,"Apple, Twitter, Facebook, Amazon stock down in premarket after earnings fail to wow Wall Street","Shares of Twitter, Facebook, Apple and Amazon sunk in premarket trading Friday.",CNBC,"Fri, 30 Oct 2020 08:39:42 -0400",earnings,Negative,Article,"AAPL,AMZN,FB,TWTR"
